DataId,Level,Exp,MoveSpeed,MaxHp,ItemAcquireRange,ResistDisorder
101,1,50,1,100,0,0
102,2,100,1,100,0,0
103,3,150,1,100,0,0
104,4,200,1,100,0,0
105,5,250,1,100,0,0
106,6,300,1,100,0,0
107,7,350,1,100,0,0
108,8,400,1,100,0,0
109,9,450,1,100,0,0
110,10,500,1,100,0,0
111,11,550,1,100,0,0
112,12,600,1,100,0,0
113,13,650,1,100,0,0
114,14,700,1,100,0,0
115,15,750,1,100,0,0
116,16,800,1,100,0,0
117,17,850,1,100,0,0
118,18,900,1,100,0,0
119,19,950,1,100,0,0
120,20,1000,1,100,0,0
121,21,1050,1,100,0,0
122,22,1100,1,100,0,0
123,23,1150,1,100,0,0
124,24,1200,1,100,0,0
125,25,1250,1,100,0,0
126,26,1300,1,100,0,0
127,27,1350,1,100,0,0
128,28,1400,1,100,0,0
129,29,1450,1,100,0,0
130,30,1500,1,100,0,0
131,31,1550,1,100,0,0
132,32,1600,1,100,0,0
133,33,1650,1,100,0,0
134,34,1700,1,100,0,0
135,35,1750,1,100,0,0
136,36,1800,1,100,0,0
137,37,1850,1,100,0,0
138,38,1900,1,100,0,0
139,39,1950,1,100,0,0
140,40,2000,1,100,0,0
141,41,2050,1,100,0,0
142,42,2100,1,100,0,0
143,43,2150,1,100,0,0
144,44,2200,1,100,0,0
145,45,2250,1,100,0,0
146,46,2300,1,100,0,0
147,47,2350,1,100,0,0
148,48,2400,1,100,0,0
149,49,2450,1,100,0,0
150,50,2500,1,100,0,0
151,51,2550,1,100,0,0
152,52,2600,1,100,0,0
153,53,2650,1,100,0,0
154,54,2700,1,100,0,0
155,55,2750,1,100,0,0
156,56,2800,1,100,0,0
157,57,2850,1,100,0,0
158,58,2900,1,100,0,0
159,59,2950,1,100,0,0
160,60,3000,1,100,0,0
